Community Name,"Holds degree or higher, %","Equivalent household income <$600/week, %",,,Locality,2013
Buxton (Town),29.7029703,53.65853659,,,CLIFTON HILL,867000
Cabarita (Town),31.90184049,40.57971014,,,CLIFTON SPRINGS,337500
Cairnlea (Suburb),48.78240377,35.77726218,,,CLUNES,219000
California Gully (Suburb),19.94274809,58.91783567,,,CLYDE,397000
Camberwell (Suburb),71.24924074,21.30370854,,,CLYDE NORTH,409000
Campbellfield (Suburb),31.2749004,65.40055249,,,COBBLEBANK,335500
Camperdown (Catchment),25.08710801,46.85430464,,,COBDEN,162500
Camperdown (Town),27.14285714,55.67665758,,,COBRAM,218000
Canadian (Suburb),39.73941368,41.52854512,,,COBURG,633000
Cann River (Town),17.64705882,70.27027027,,,COBURG EAST,560000
Cannons Creek (Town),20.76502732,36.97916667,,,COBURG NORTH,540000
Canterbury (Suburb),72.64296754,21.24005027,,,COCKATOO,355000
Cape Paterson (Town),29.2358804,41.05263158,,,COHUNA,139000
Cape Schanck (Town),47.05882353,25,,,COLAC,226500
Cape Woolamai (Catchment),31.49606299,47.09976798,,,COLDSTREAM,385000
Cape Woolamai (Town),28.88146912,41.98312236,,,COLERAINE,118000
Cardigan Village (Town),27.43902439,31.67701863,,,COLLINGWOOD,741000
Carisbrook (Town),18.98734177,62.6984127,,,CONNEWARRE,612500
Carlton (Catchment),83.14606742,18.18181818,,,COOLAROO,290000
Carlton North (Suburb),80.2831953,22.61499148,,,COONANS HILL,655000
Carlton (Suburb),78.78103837,56.26827485,,,COONGULLA,150000
Carnegie (Suburb),66.44550928,32.52396166,,,CORINELLA,330000
Caroline Springs (Suburb),47.04198473,25.8668516,,,CORIO,230000
Carrum Downs (Catchment),41.0041841,29.68630451,,,CORONET BAY,251000
Carrum Downs (Suburb),22.64117543,38.34274327,,,CORRYONG,166500
Carrum (Suburb),32.03007519,38.02919708,,,COWES,387500
Casterton (Catchment),26.25,52.25933202,,,COWES WEST,320000
Casterton (Town),22.61904762,65.15151515,,,CRAIGIEBURN,360000
Castlemaine (Catchment),39.40193492,50.86912065,,,CRANBOURNE,315000
Castlemaine (Town),44.40036619,54.37010247,,,CRANBOURNE EAST,390000
Caulfield East (Suburb),65.26655897,39.16849015,,,CRANBOURNE NORTH,370000
Caulfield North (Suburb),72.18387631,25.55735711,,,CRANBOURNE SOUTH,-
Caulfield South (Catchment),74.04255319,29.71428571,,,CRANBOURNE WEST,330000
Caulfield South (Suburb),64.66603951,27.95497186,,,CREMORNE,821000
Caulfield (Suburb),65.63285834,31.46729523,,,CRESWICK,245000
Chadstone (Suburb),55.20863729,40.16235021,,,CRIB POINT,355000
Charlton (Catchment),30.34734918,65.07115136,,,CROYDON,470000
Charlton (Town),20.4379562,63.56164384,,,CROYDON HILLS,571500
Chelsea Heights (Suburb),31.50026695,34.45738811,,,CROYDON NORTH,540500
Chelsea (Suburb),40.55994257,40.02097169,,,CROYDON SOUTH,442000
Cheltenham (Catchment),57.12383489,20.95032397,,,CURLEWIS,385500
Cheltenham (Suburb),47.15076923,36.54786862,,,DALLAS,280000
Chiltern (Catchment),29.75871314,39.06485671,,,DALYSTON,245000
Chiltern (Town),21.54696133,48.89434889,,,DANDENONG,405000
Chirnside Park (Catchment),40.80188679,21.13095238,,,DANDENONG NORTH,390000
Chirnside Park (Suburb),27.69180112,33.85093168,,,DANYO,54500
Churchill (Catchment),32.87560582,36.51911469,,,DARLEY,330500
Churchill (Town),30.1082544,51.13031915,,,DAYLESFORD,385000
Clarinda (Catchment),32.58426966,32.09876543,,,DEANSIDE,-
Clarinda (Suburb),44.77124183,44.12304867,,,DEEPDENE,1981000
Clayton (Catchment),65.98049837,43.98907104,,,DEER PARK,348000
Clayton South (Suburb),50,50.35102499,,,DELACOMBE,280000
Clayton (Suburb),64.31738266,52.97381269,,,DELAHEY,372500
Clematis (Suburb),36.98630137,22.85714286,,,DENNINGTON,320000
Clifton Hill (Suburb),77.91703969,18.30314585,,,DERRIMUT,417000
Clunes (Town),31.37755102,69.06614786,,,DIAMOND CREEK,513000
Clyde (Town),22.30215827,36.84210526,,,DIGGERS REST,280000
Cobden (Catchment),25.29673591,45.8677686,,,DIMBOOLA,89000
Cobden (Town),20.86720867,48.62888483,,,DINGLEY VILLAGE,553500
Cobram (Catchment),20.16985138,48.94204232,,,DINNER PLAIN,390000
Cobram (Town),20.7177814,57.03504043,,,DONALD,140000
Coburg North (Suburb),52.06185567,46.14670381,,,DONCASTER,850500
Coburg (Suburb),60.63979142,37.75974425,,,DONCASTER EAST,789000
Cockatoo (Catchment),32.02287348,34.99043977,,,DONNYBROOK,-
Cockatoo (Suburb),23.28660436,35.35714286,,,DONVALE,735000
Cohuna (Catchment),22.63242376,57.4686431,,,DOREEN,415000
Cohuna (Town),25.17162471,59.83026874,,,DOVETON,302000
Colac (Catchment),27.70651616,46.56110836,,,DROMANA,462000
Colac (Town),21.63705584,49.27464962,,,DROUIN,300000
Coldstream (Suburb),14.38721137,36.02362205,,,DRYSDALE,380000
Coleraine (Catchment),29.71014493,52.3138833,,,DUNOLLY,182500
Coleraine (Town),14.53744493,68.10810811,,,EAGLE POINT,227000
Collingwood (Suburb),67.98245614,38.01313629,,,EAGLEHAWK,264000
Coolaroo (Suburb),22.03389831,65.81691773,,,EAGLEMONT,1340000
